0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"[0.41017186641693115, 0.193052738904953]","[0.4050980806350708, 0.17304670810699463]","[0.4042361080646515, 0.17241179943084717]","[0.40311306715011597, 0.17169904708862305]","[0.4028128981590271, 0.17209404706954956]","[0.40059709548950195, 0.1708899736404419]","[0.39796316623687744, 0.1695791482925415]","[0.3877776265144348, 0.17430010437965393]","[0.3833218216896057, 0.17303791642189026]","[0.4039657413959503, 0.2120848000049591]","[0.4012572169303894, 0.21166875958442688]","[0.3672996759414673, 0.2760984003543854]","[0.35467472672462463, 0.27016082406044006]","[0.3723931908607483, 0.4078914225101471]","[0.31846439838409424, 0.4116266369819641]","[0.40925663709640503, 0.42606642842292786]","[0.38460105657577515, 0.4976026117801666]","[0.419078528881073, 0.42337337136268616]","[0.39717426896095276, 0.5324792265892029]","[0.4235236346721649, 0.415175199508667]","[0.40495163202285767, 0.5230780243873596]","[0.4187127947807312, 0.41771581768989563]","[0.4013925790786743, 0.5069254636764526]","[0.3562048673629761, 0.56308913230896]","[0.3455182909965515, 0.5653555393218994]","[0.37770140171051025, 0.7883758544921875]","[0.3626691401004791, 0.8143410086631775]","[0.3632207214832306, 0.9792828559875488]","[0.2648635506629944, 0.6689280271530151]","[0.35070088505744934, 0.9975047707557678]","[0.26133811473846436, 0.6294057965278625]","[0.3817935883998871, 1.0235090255737305]","[0.21558012068271637, 0.7119888067245483]"
"[0.4101535975933075, 0.1948564648628235]","[0.40507590770721436, 0.17566612362861633]","[0.40417587757110596, 0.17521797120571136]","[0.4029737114906311, 0.17463921010494232]","[0.4028376638889313, 0.1748906821012497]","[0.40064331889152527, 0.1739707887172699]","[0.39805081486701965, 0.17289283871650696]","[0.3877660930156708, 0.17932704091072083]","[0.38351041078567505, 0.1786068230867386]","[0.40393227338790894, 0.21422837674617767]","[0.40128815174102783, 0.2138063758611679]","[0.36732885241508484, 0.28078898787498474]","[0.35375919938087463, 0.27259913086891174]","[0.36840760707855225, 0.4134938418865204]","[0.30975088477134705, 0.4120838940143585]","[0.41233864426612854, 0.42584311962127686]","[0.37519851326942444, 0.5026296973228455]","[0.4260100722312927, 0.4234637916088104]","[0.3878334164619446, 0.536213219165802]","[0.426240473985672, 0.41565316915512085]","[0.3952370285987854, 0.5265923738479614]","[0.4201086163520813, 0.4180818498134613]","[0.39159950613975525, 0.5112663507461548]","[0.3542255759239197, 0.571837306022644]","[0.345542848110199, 0.5744824409484863]","[0.3706444501876831, 0.7911381125450134]","[0.3654846251010895, 0.8154465556144714]","[0.34432128071784973, 0.9724002480506897]","[0.27492719888687134, 0.6891894936561584]","[0.32986757159233093, 0.9916646480560303]","[0.26762115955352783, 0.6564970016479492]","[0.36258986592292786, 1.0237432718276978]","[0.22884632647037506, 0.7419001460075378]"
"[0.40965667366981506, 0.20087312161922455]","[0.4046371877193451, 0.1817658245563507]","[0.40368396043777466, 0.18134662508964539]","[0.4023880958557129, 0.18070945143699646]","[0.4022945165634155, 0.18101713061332703]","[0.39993011951446533, 0.1801316738128662]","[0.39730724692344666, 0.17905761301517487]","[0.3873782753944397, 0.1859416365623474]","[0.3826197683811188, 0.18550898134708405]","[0.40353792905807495, 0.22010093927383423]","[0.4008428454399109, 0.22000567615032196]","[0.369306355714798, 0.29322877526283264]","[0.3509807884693146, 0.28318947553634644]","[0.3692396581172943, 0.4298628866672516]","[0.2993130087852478, 0.4122921824455261]","[0.4153383672237396, 0.4271460771560669]","[0.36538979411125183, 0.5083584189414978]","[0.43088406324386597, 0.4239329993724823]","[0.37570714950561523, 0.538329005241394]","[0.4292760193347931, 0.41607341170310974]","[0.383736789226532, 0.5280160903930664]","[0.4223286807537079, 0.41881033778190613]","[0.3807709515094757, 0.5139971971511841]","[0.3517680764198303, 0.5892350077629089]","[0.3436790704727173, 0.5868300795555115]","[0.35330718755722046, 0.8088520765304565]","[0.3763192892074585, 0.811616837978363]","[0.31018808484077454, 0.9796900749206543]","[0.28118714690208435, 0.7052454352378845]","[0.29344072937965393, 0.9958314299583435]","[0.2705734372138977, 0.6793251037597656]","[0.3436262309551239, 1.0558887720108032]","[0.23993471264839172, 0.7789680361747742]"
"[0.4100441634654999, 0.19955649971961975]","[0.4046620726585388, 0.1815679371356964]","[0.40371063351631165, 0.18093177676200867]","[0.40241488814353943, 0.18018147349357605]","[0.40229636430740356, 0.1805753856897354]","[0.3999082148075104, 0.17955704033374786]","[0.39724117517471313, 0.17856813967227936]","[0.3876849114894867, 0.18722975254058838]","[0.38262173533439636, 0.18712379038333893]","[0.40521469712257385, 0.21999835968017578]","[0.40221989154815674, 0.21961483359336853]","[0.3766268193721771, 0.308429479598999]","[0.3511318564414978, 0.2860288918018341]","[0.36914917826652527, 0.4367333650588989]","[0.29266467690467834, 0.41066423058509827]","[0.4187086522579193, 0.4283622205257416]","[0.3550419509410858, 0.5100567936897278]","[0.434205561876297, 0.42267921566963196]","[0.36425456404685974, 0.5401690602302551]","[0.4320472180843353, 0.41435813903808594]","[0.3704463839530945, 0.5317829847335815]","[0.4253440201282501, 0.41776424646377563]","[0.3692098557949066, 0.5213343501091003]","[0.35064011812210083, 0.5954731106758118]","[0.3437598943710327, 0.5901570320129395]","[0.34680256247520447, 0.8088956475257874]","[0.40338534116744995, 0.80732661485672]","[0.2856830656528473, 0.972547173500061]","[0.29118725657463074, 0.7314428687095642]","[0.26644331216812134, 0.9901474714279175]","[0.2753613591194153, 0.7086576223373413]","[0.31098663806915283, 1.0517578125]","[0.2578969895839691, 0.8195948600769043]"
"[0.4103332757949829, 0.19694063067436218]","[0.4046294391155243, 0.17934414744377136]","[0.40368136763572693, 0.17924261093139648]","[0.4023944139480591, 0.17898452281951904]","[0.4021626114845276, 0.17864474654197693]","[0.3997025191783905, 0.17822177708148956]","[0.39693430066108704, 0.17777180671691895]","[0.3876437246799469, 0.18657800555229187]","[0.38187316060066223, 0.18626978993415833]","[0.4063519239425659, 0.21939824521541595]","[0.40316811203956604, 0.21843166649341583]","[0.37993043661117554, 0.3121296167373657]","[0.34803342819213867, 0.28470340371131897]","[0.37035873532295227, 0.44099292159080505]","[0.2797003388404846, 0.39768335223197937]","[0.4203071594238281, 0.42537933588027954]","[0.34389495849609375, 0.5049542188644409]","[0.4350142478942871, 0.4130970537662506]","[0.35372886061668396, 0.5345759391784668]","[0.433428019285202, 0.40158894658088684]","[0.3603307008743286, 0.5280442833900452]","[0.42703503370285034, 0.40531474351882935]","[0.35890981554985046, 0.5202664136886597]","[0.3507961332798004, 0.5983859300613403]","[0.3434765934944153, 0.5931071639060974]","[0.35303357243537903, 0.8138750195503235]","[0.41739213466644287, 0.7954943776130676]","[0.26931726932525635, 0.9474375247955322]","[0.2956172525882721, 0.7619362473487854]","[0.25395527482032776, 0.9695547819137573]","[0.2849912941455841, 0.7471320033073425]","[0.27856627106666565, 1.0104639530181885]","[0.2717347741127014, 0.8155745267868042]"
"[0.4100593030452728, 0.19528335332870483]","[0.4039260149002075, 0.1773911416530609]","[0.403128981590271, 0.17730119824409485]","[0.4020058214664459, 0.17715789377689362]","[0.40093153715133667, 0.1770077794790268]","[0.3982105851173401, 0.17672859132289886]","[0.39520472288131714, 0.1765483170747757]","[0.3873642683029175, 0.18601348996162415]","[0.37975820899009705, 0.18602149188518524]","[0.4062778353691101, 0.21724632382392883]","[0.40291914343833923, 0.21664053201675415]","[0.38265323638916016, 0.3104029893875122]","[0.342024028301239, 0.28119608759880066]","[0.3711174726486206, 0.43677055835723877]","[0.2706201374530792, 0.38429149985313416]","[0.42160797119140625, 0.41134336590766907]","[0.3359304666519165, 0.4918219745159149]","[0.4343143105506897, 0.3952412009239197]","[0.3457174301147461, 0.5216336250305176]","[0.432996928691864, 0.3843960762023926]","[0.35315656661987305, 0.5165006518363953]","[0.4269907772541046, 0.3904384672641754]","[0.35220280289649963, 0.5104809999465942]","[0.35333412885665894, 0.5996197462081909]","[0.3408099412918091, 0.5943253636360168]","[0.3599076569080353, 0.8119574785232544]","[0.42284056544303894, 0.7770975828170776]","[0.2518599331378937, 0.928817093372345]","[0.3033519983291626, 0.8410722613334656]","[0.23264870047569275, 0.9491757154464722]","[0.2841581702232361, 0.8410679697990417]","[0.27697861194610596, 0.9757290482521057]","[0.3015817701816559, 0.9517772793769836]"
"[0.4094260036945343, 0.19081363081932068]","[0.40353265404701233, 0.17336170375347137]","[0.40283679962158203, 0.17320480942726135]","[0.401822566986084, 0.1730281412601471]","[0.4001874327659607, 0.17246633768081665]","[0.39736300706863403, 0.17184264957904816]","[0.3942951261997223, 0.17145907878875732]","[0.3872188627719879, 0.1804642230272293]","[0.3787495195865631, 0.18059822916984558]","[0.4060942828655243, 0.21192310750484467]","[0.402244508266449, 0.2112364023923874]","[0.3860644996166229, 0.30709412693977356]","[0.3379819095134735, 0.2764553725719452]","[0.38651517033576965, 0.4344371259212494]","[0.2624140679836273, 0.36845487356185913]","[0.4248422682285309, 0.39601314067840576]","[0.3296513855457306, 0.4710898995399475]","[0.43457600474357605, 0.37698429822921753]","[0.33989250659942627, 0.5063114762306213]","[0.43333905935287476, 0.36631983518600464]","[0.3482647240161896, 0.50007164478302]","[0.4278901219367981, 0.37294861674308777]","[0.34682077169418335, 0.4914506673812866]","[0.35924047231674194, 0.5962652564048767]","[0.34085366129875183, 0.5933586359024048]","[0.42923131585121155, 0.7649371027946472]","[0.31545084714889526, 0.77692049741745]","[0.30589359998703003, 0.8794543147087097]","[0.2468177229166031, 0.9134349226951599]","[0.23668132722377777, 0.9139026999473572]","[0.22378621995449066, 0.9340690970420837]","[0.29073286056518555, 0.9767810106277466]","[0.2800203561782837, 1.0057687759399414]"
"[0.4090811610221863, 0.1862000674009323]","[0.403471440076828, 0.16782426834106445]","[0.40281301736831665, 0.16749203205108643]","[0.40182358026504517, 0.16720928251743317]","[0.3999813199043274, 0.16666845977306366]","[0.3971179723739624, 0.16585080325603485]","[0.3940407633781433, 0.16542212665081024]","[0.38727936148643494, 0.17346839606761932]","[0.3784349262714386, 0.17442399263381958]","[0.40592870116233826, 0.20728197693824768]","[0.4016469419002533, 0.20654447376728058]","[0.3852326273918152, 0.2983628809452057]","[0.3382415771484375, 0.2699146270751953]","[0.3871154487133026, 0.42967304587364197]","[0.25745075941085815, 0.35645875334739685]","[0.4235645830631256, 0.3799322843551636]","[0.32543814182281494, 0.4590547978878021]","[0.43336546421051025, 0.35789865255355835]","[0.33496925234794617, 0.4954020082950592]","[0.4301930069923401, 0.346486896276474]","[0.34418442845344543, 0.48803773522377014]","[0.42600223422050476, 0.35491257905960083]","[0.3425922989845276, 0.477428138256073]","[0.35878923535346985, 0.5943170189857483]","[0.3459088206291199, 0.5913217067718506]","[0.3069654405117035, 0.7622610330581665]","[0.43665972352027893, 0.7479761838912964]","[0.22990302741527557, 0.8939408659934998]","[0.36096274852752686, 0.9010474681854248]","[0.20903748273849487, 0.9116369485855103]","[0.33929115533828735, 0.9200044870376587]","[0.23229779303073883, 0.9724616408348083]","[0.3787597417831421, 0.9931580424308777]"
"[0.4081352651119232, 0.1847061663866043]","[0.40281274914741516, 0.16550838947296143]","[0.4022359848022461, 0.1650640070438385]","[0.40136128664016724, 0.1647125482559204]","[0.39916935563087463, 0.16445840895175934]","[0.396365761756897, 0.16366718709468842]","[0.3933219909667969, 0.1632767617702484]","[0.3871448338031769, 0.17060279846191406]","[0.37769824266433716, 0.17182525992393494]","[0.40499648451805115, 0.20538438856601715]","[0.40039294958114624, 0.20497828722000122]","[0.383868008852005, 0.28872448205947876]","[0.3371901214122772, 0.26519331336021423]","[0.387065052986145, 0.4000844657421112]","[0.25601378083229065, 0.34613320231437683]","[0.42131710052490234, 0.37044087052345276]","[0.3225182890892029, 0.4476930797100067]","[0.4279022812843323, 0.3568265736103058]","[0.3335172235965729, 0.48032504320144653]","[0.42434972524642944, 0.3440990447998047]","[0.3426246643066406, 0.47283533215522766]","[0.4206589162349701, 0.34964755177497864]","[0.34063470363616943, 0.4630316197872162]","[0.35985568165779114, 0.5874038338661194]","[0.3477751612663269, 0.5885751247406006]","[0.29378700256347656, 0.7531549334526062]","[0.4507598280906677, 0.7408623695373535]","[0.2130742073059082, 0.8856233954429626]","[0.38986068964004517, 0.9341920614242554]","[0.19420328736305237, 0.8888925909996033]","[0.3697887659072876, 0.9603388905525208]","[0.2141667753458023, 0.9692808985710144]","[0.4212900698184967, 1.0058294534683228]"
"[0.40709251165390015, 0.18339388072490692]","[0.4021243453025818, 0.16268253326416016]","[0.401716023683548, 0.162229984998703]","[0.4010513126850128, 0.16192162036895752]","[0.39820510149002075, 0.16118882596492767]","[0.39540544152259827, 0.1601143628358841]","[0.3923499286174774, 0.15945269167423248]","[0.3870471119880676, 0.1669921725988388]","[0.37681806087493896, 0.1674136519432068]","[0.4043402373790741, 0.20454396307468414]","[0.39889925718307495, 0.20373062789440155]","[0.3834453821182251, 0.2838456630706787]","[0.3356182277202606, 0.26372912526130676]","[0.3969707787036896, 0.4000748097896576]","[0.2516212463378906, 0.3417382538318634]","[0.4213325083255768, 0.36741137504577637]","[0.3202110230922699, 0.4402287006378174]","[0.4260578751564026, 0.3543452024459839]","[0.3322218656539917, 0.47135618329048157]","[0.4216018319129944, 0.3390354812145233]","[0.3409919738769531, 0.46171993017196655]","[0.41862139105796814, 0.34328746795654297]","[0.3386644423007965, 0.45088085532188416]","[0.35996511578559875, 0.5848891139030457]","[0.35137832164764404, 0.5870495438575745]","[0.29100796580314636, 0.7484581470489502]","[0.45015954971313477, 0.7419714331626892]","[0.20364369451999664, 0.8615047931671143]","[0.41591063141822815, 0.9570717215538025]","[0.18237543106079102, 0.8560395836830139]","[0.40148210525512695, 0.9803720116615295]","[0.20592206716537476, 0.943509042263031]","[0.45371949672698975, 0.9999697208404541]"
